doc_id,surface,tam,comp,subjtype,head_lemma,pattern,subject_text,instance_atp,instance_dpb,instance_hr
USARG_0036,"The procedure , abortion is being performed at a rate which has been continually on the rise for years",prog-be,pp_at_NP,DEF_NP,perform,"prog-be,pp_at_NP","The procedure , abortion",0.12717310534146603,0.3689772176442075,1.0
USARG_0018,that are being referred to,prog-be,pp_to_NP,REL,refer,"prog-be,pp_to_NP",that,0.11387233874499615,0.16897721764420748,1.584962500721156
USARG_0018,should be offered outside of the classroom,modal-be,pp_outside_NP,DEF_NP,offer,"modal-be,pp_outside_NP",,0.3128596759545578,0.13754241396025207,0.0
USARG_0068,"Women 's Liberation has been met with adamant , and often obstinate oppostion",perf-be,pp_with_NP,PROPN,meet,"perf-be,pp_with_NP",Women 's Liberation,0.5108512326284284,0.6312813055420907,2.321928094887362
USARG_0089,Cities were located near train tracks,past-be,pp_near_NP,PL_NP,locate,"past-be,pp_near_NP",Cities,0.2370210174378861,0.46219098400387787,0.0
USARG_0116,"the movement for democracy , the stance made by he young hero of freedom would have been lost Without the satellite",modal-be,pp_without_NP,DEF_NP,lose,"modal-be,pp_without_NP","the movement for democracy , the stance made by he young hero of freedom",0.2798194428433179,0.107471781732567,2.0
USARG_0116,China is placed down the block,pres-be,pp_down_NP,PROPN,place,"pres-be,pp_down_NP",China,0.10309035231478274,0.19846271033861917,0.0
USARG_0004,Capital punishment has been carried on criminals,perf-be,pp_on_NP,DEF_NP,carry,"perf-be,pp_on_NP",Capital punishment,0.4675328285664271,0.46461463887542415,1.0
USARG_0138,sex should be talked about,modal-be,pp_about_NP,DEF_NP,talk,"modal-be,pp_about_NP",sex,0.5005414500699238,0.887542413960252,0.0
USARG_0148,The bowls have been associated with college football,perf-be,pp_with_NP,PL_NP,associ,"perf-be,pp_with_NP",The bowls,0.4277164301666456,0.29794797220875746,2.321928094887362
USARG_0080,that have been turned to those outside the family,perf-be,pp_to_NP,REL,turn,"perf-be,pp_to_NP",that,0.3843374347328557,0.1312813055420908,2.321928094887362
USARG_0141,being debated at the moment,prog-be,pp_at_NP,DEF_NP,debate,"prog-be,pp_at_NP",,0.1312379850063896,0.24170449037148017,1.0
USARG_0141,his charge was dismissed due to the fact that Michigan has no law against assisted suicide,past-be,pp_due_NP,DEF_NP,dismiss,"past-be,pp_due_NP",his charge,0.2282887038097896,0.4520116335433834,0.0
USARG_0064,an individual has been convicted of a crime,perf-be,pp_of_NP,INDEF_NP,convict,"perf-be,pp_of_NP",an individual,0.4258055705279718,0.29794797220875746,2.0
USARG_0128,being exposed to clear and definitive signs of massed produced gender identity,prog-be,pp_to_NP,DEF_NP,expose,"prog-be,pp_to_NP",,0.11291012784779447,0.21897721764420747,1.584962500721156
USARG_0056,"Richard Nixon , certainly a criminal at least in the sense of having violated public trust was deprived of public office",past-be,pp_of_NP,PROPN,deprive,"past-be,pp_of_NP","Richard Nixon , certainly a criminal at least in the sense of having violated public trust",0.14483418773287896,0.28534496687671673,1.584962500721156
USARG_0144,the ca be chased after,modal-be,pp_after_NP,PRON,chase,"modal-be,pp_after_NP",the,0.44520581217510485,0.887542413960252,1.0
USARG_0026,"Advertisers and salespeople have been accused of deceiving and manipulating the public through techniques such as exaggeration , failure to tell the whole truth about a product , misleading pricing , and packaging",perf-be,pp_of_NP,PL_NP,accuse,"perf-be,pp_of_NP",Advertisers and salespeople,0.4961560169722242,0.5646146388754241,2.0
USARG_0008,more students were implemented into the program,past-be,pp_into_NP,PL_NP,implement,"past-be,pp_into_NP",more students,0.10881588923275787,0.21219098400387784,2.75
USARG_0090,that could have been dreamed of,modal-be,pp_of_NP,REL,dream,"modal-be,pp_of_NP",that,0.4023472555822704,0.9646146388754241,2.321928094887362
USARG_0043,being transferred during sex,prog-be,pp_during_NP,DEF_NP,transfer,"prog-be,pp_during_NP",,0.4882736760785264,0.9689772176442074,0.0
